VARIABLES = "X"
 "Y"
 "rho_N2"
 "rho_O2"
 "rho_NO"
 "rho_N"
 "rho_O"
 "U"
 "V"
 "T"
 "Tv"
 "tke"
 "omega"
 "rho"
 "P"
 "H"
 "tau"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
       1.51726726726727                     0.3      0.0307137921883673     0.00937105030367062    2.46974145473067E-05    1.94816825172125E-09    3.07187729823903E-05        3423.06625812393        -3389.3693387595        414.328676345126        518.481703052858      0.0404319458566793        8592.48820415211       0.040140260430198        4895.12360272058        12042232.2936539       0.800697392051073 
       1.51801801801802                     0.3      0.0307398485087744      0.0093769149239959    2.60337488798235E-05    2.08649600963204E-09    3.23190189301899E-05        3422.85452687379       -3388.02635850074        417.404021294519        521.063789095142      0.0404077886326801        8587.35437846182      0.0401751183530647         4944.2769727189        12041113.4548987       0.791181523980626 
       1.51876876876877                     0.3      0.0307450489189706     0.00937831134120523    2.61567365882298E-05    2.08652205636001E-09     3.2468380777332E-05        3422.80734733749       -3387.76116595642        417.995827788332        522.251534828687      0.0404008677106652        8585.88356730538      0.0401819875528471        4951.76465546464        12040748.9606083       0.774532488680934 
       1.51951951951952                     0.3      0.0307502493291667     0.00937970775841457    2.62797242966361E-05    2.08654810308798E-09    3.26177426244741E-05         3422.7601678012       -3387.49597341209        418.587634282144        523.439280562231      0.0403939467886503        8584.41275614895      0.0401888567526296        4959.25233821039         12040384.466318       0.757883453381243 
       1.52027027027027                     0.3      0.0307554497393629      0.0093811041756239    2.64027120050424E-05    2.08657414981595E-09    3.27671044716162E-05         3422.7129882649       -3387.23078086777        419.179440775956        524.627026295775      0.0403870258666355        8582.94194499251      0.0401957259524121        4966.74002095613        12040019.9720277       0.741234418081552 
       1.52102102102102                     0.3       0.030760650149559     0.00938250059283324    2.65256997134487E-05    2.08660019654393E-09    3.29164663187584E-05        3422.66580872861       -3386.96558832345        419.771247269769         525.81477202932      0.0403801049446206        8581.47113383608      0.0402025951521946        4974.22770370188        12039655.4777374       0.724585382781856 
       1.52177177177177                     0.3      0.0307658505597552     0.00938389701004257     2.6648687421855E-05     2.0866262432719E-09    3.30658281659005E-05        3422.61862919231       -3386.70039577912        420.363053763581        527.002517762864      0.0403731840226057        8580.00032267964       0.040209464351977        4981.71538644762        12039290.9834471       0.707936347482165 
       1.52252252252252                     0.3      0.0307710509699513     0.00938529342725191    2.67716751302613E-05    2.08665228999987E-09    3.32151900130426E-05        3422.57144965601        -3386.4352032348        420.954860257394        528.190263496409      0.0403662631005908        8578.52951152321      0.0402163335517595        4989.20306919336        12038926.4891568       0.691287312182474 
       1.52327327327327                     0.3      0.0307762513801475     0.00938668984446124    2.68946628386676E-05    2.08667833672784E-09    3.33645518601846E-05        3422.52427011972       -3386.17001069048        421.546666751206        529.378009229953       0.040359342178576        8577.05870036678       0.040223202751542        4996.69075193911        12038561.9948665       0.674638276882782 
       1.52402402402402                     0.3      0.0307814517903436     0.00938808626167057    2.70176505470739E-05    2.08670438345581E-09    3.35139137073267E-05        3422.47709058342       -3385.90481814615        422.138473245018        530.565754963498      0.0403524212565611        8575.58788921034      0.0402300719513244        5004.17843468485        12038197.5005762       0.657989241583091 
       1.52477477477477                     0.3      0.0307866522005398     0.00938948267887991    2.71406382554803E-05    2.08673043018378E-09    3.36632755544689E-05        3422.42991104713       -3385.63962560183        422.730279738831        531.753500697042      0.0403455003345462         8574.1170780539      0.0402369411511069         5011.6661174306        12037833.0062859       0.641340206283395 
       1.52552552552553                     0.3       0.030791852610736     0.00939087909608924    2.72636259638866E-05    2.08675647691176E-09     3.3812637401611E-05        3422.38273151083       -3385.37443305751        423.322086232643        532.941246430587      0.0403385794125313        8572.64626689747      0.0402438103508894        5019.15380017634        12037468.5119956       0.624691170983704 
       1.52627627627628                     0.3      0.0307970530209321     0.00939227551329858    2.73866136722929E-05    2.08678252363973E-09    3.39619992487531E-05        3422.33555197454       -3385.10924051318        423.913892726455        534.128992164131      0.0403316584905164        8571.17545574103      0.0402506795506718        5026.64148292209        12037104.0177053       0.608042135684013 
       1.52702702702703                     0.3      0.0308022534311283     0.00939367193050791    2.75096013806991E-05     2.0868085703677E-09    3.41113610958952E-05        3422.28837243824       -3384.84404796886        424.505699220268        535.316737897676      0.0403247375685016         8569.7046445846      0.0402575487504543        5034.12916566783         12036739.523415       0.591393100384321 
