VARIABLES = "X"
 "Y"
 "rho_N2"
 "rho_O2"
 "rho_NO"
 "rho_N"
 "rho_O"
 "rho_NOp"
 "rho_N2p"
 "rho_O2p"
 "rho_Np"
 "rho_Op"
 "rho_e"
 "U"
 "V"
 "T"
 "Tv"
 "rho"
 "P"
 "H"
 "tau"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
       1.46201201201201                     0.3      0.0301840839370323     0.00923925621184713    5.98739634013088E-06    7.82642756498924E-11    7.46470227755616E-06                       0                       0                       0                       0                       0                       0         3427.6802298462       -3416.86201270973        350.914781317058         427.82380290725      0.0394367987935102         3999.0346391163        12071735.7597613         1.7137802668304 
       1.46241241241241                     0.3       0.030189379097485     0.00924059218123546    6.15886887073109E-06    8.72077382691382E-11    7.68461902857236E-06                       0                       0                       0                       0                       0                       0        3427.63117861302       -3416.56714399513        351.613910186898        428.715834868116      0.0394438215282107        4008.31421807069        12071426.2468284        1.70888828526242 
       1.46281281281281                     0.3      0.0301946742579378     0.00924192815062378    6.33034140133141E-06    9.61512008883889E-11    7.90453577958869E-06                       0                       0                       0                       0                       0                       0        3427.58212737984       -3416.27227528053        352.313039056738        429.607866828982      0.0394508442629112        4017.59379702509        12071116.7338954        1.70399630369443 
       1.46321321321321                     0.3      0.0301999694183905     0.00924326412001211    6.50181393193163E-06    1.05094663507635E-10    8.12445253060489E-06                       0                       0                       0                       0                       0                       0        3427.53307614666       -3415.97740656593        353.012167926578        430.499898789848      0.0394578669976117        4026.87337597948        12070807.2209624        1.69910432212646 
       1.46361361361361                     0.3      0.0302052645788433     0.00924460008940043    6.67328646253185E-06    1.14038126126881E-10     8.3443692816211E-06                       0                       0                       0                       0                       0                       0        3427.48402491347       -3415.68253785133        353.711296796418        431.391930750713      0.0394648897323122        4036.15295493388        12070497.7080294        1.69421234055848 
       1.46401401401401                     0.3       0.030210559739296     0.00924593605878876    6.84475899313206E-06    1.22981588746126E-10     8.5642860326373E-06                       0                       0                       0                       0                       0                       0        3427.43497368029       -3415.38766913673        354.410425666259        432.283962711579      0.0394719124670126        4045.43253388827        12070188.1950965         1.6893203589905 
       1.46441441441441                     0.3      0.0302158548997488     0.00924727202817708    7.01623152373238E-06    1.31925051365377E-10    8.78420278365362E-06                       0                       0                       0                       0                       0                       0        3427.38592244711       -3415.09280042213        355.109554536099        433.175994672445      0.0394789352017131        4054.71211284267        12069878.6821635        1.68442837742252 
       1.46481481481481                     0.3      0.0302221831150236     0.00924884717062243    7.23409266262035E-06    1.51272246685391E-10     9.0635280945494E-06                       0                       0                       0                       0                       0                       0        3427.32752834611       -3414.74079070461        355.950528075688        434.126882724089      0.0394873358084261        4066.11538795764        12069524.9492208        1.67971875715177 
       1.46521521521522                     0.3      0.0302299282437899     0.00925075035715992    7.51557931636186E-06    1.84888955015557E-10    9.42433677708673E-06                       0                       0                       0                       0                       0                       0         3427.2563197892       -3414.31040774279        356.986052399944        435.158496393858      0.0394976262717101        4080.43147435531        12069110.5651617        1.67525925931095 
       1.46561561561562                     0.3      0.0302376733725561     0.00925265354369742    7.79706597010338E-06    2.18505663345723E-10    9.78514545962405E-06                       0                       0                       0                       0                       0                       0        3427.18511123229       -3413.88002478097          358.0215767242        436.190110063627      0.0395079167349941        4094.74756075298        12068696.1811025        1.67079976147013 
       1.46601601601602                     0.3      0.0302454185013224     0.00925455673023491    8.07855262384504E-06    2.52122371675907E-10    1.01459541421616E-05                       0                       0                       0                       0                       0                       0        3427.11390267538       -3413.44964181915        359.057101048457        437.221723733397      0.0395182071982781        4109.06364715066        12068281.7970434        1.66634026362931 
       1.46641641641642                     0.3      0.0302531636300887     0.00925645991677241    8.36003927758655E-06    2.85739080006073E-10    1.05067628246989E-05                       0                       0                       0                       0                       0                       0        3427.04269411848       -3413.01925885733        360.092625372713        438.253337403166      0.0395284976615622        4123.37973354833        12067867.4129842        1.66188076578849 
       1.46681681681682                     0.3      0.0302609087588549      0.0092583631033099    8.64152593132807E-06    3.19355788336239E-10    1.08675715072362E-05                       0                       0                       0                       0                       0                       0        3426.97148556157       -3412.58887589551        361.128149696969        439.284951072935      0.0395387881248462          4137.695819946        12067453.0289251        1.65742126794767 
       1.46721721721722                     0.3      0.0302686538876212     0.00926026628984739    8.92301258506958E-06    3.52972496666405E-10    1.12283801897735E-05                       0                       0                       0                       0                       0                       0        3426.90027700466       -3412.15849293369        362.163674021225        440.316564742704      0.0395490785881302        4152.01190634368        12067038.6448659        1.65296177010685 
       1.46761761761762                     0.3      0.0302732776198322     0.00926142175674324    9.07954593791735E-06     3.7047698010052E-10    1.14289554923578E-05                       0                       0                       0                       0                       0                       0        3426.85839079477       -3411.90822275516        362.756630493262        441.059336942322      0.0395552147443164        4160.15145210722        12066780.7137542        1.64675223659126 
       1.46801801801802                     0.3      0.0302745110153044     0.00926176508031587    9.10035998719015E-06    3.70481005953327E-10     1.1455491673277E-05                       0                       0                       0                       0                       0                       0        3426.84835335148       -3411.85358391518        362.868887373864        441.488381029981      0.0395568386574317        4161.58228519675        12066692.7156089        1.63864188395915 
       1.46841841841842                     0.3      0.0302757444107765      0.0092621084038885    9.12117403646294E-06    3.70485031806135E-10    1.14820278541962E-05                       0                       0                       0                       0                       0                       0        3426.83831590819       -3411.79894507521        362.981144254467         441.91742511764      0.0395584625705469        4163.01311828628        12066604.7174636        1.63053153132704 
       1.46881881881882                     0.3      0.0302769778062487     0.00926245172746113    9.14198808573574E-06    3.70489057658943E-10    1.15085640351154E-05                       0                       0                       0                       0                       0                       0        3426.82827846489       -3411.74430623523        363.093401135069        442.346469205298      0.0395600864836621        4164.44395137581        12066516.7193182        1.62242117869493 
       1.46921921921922                     0.3      0.0302782112017208     0.00926279505103376    9.16280213500855E-06     3.7049308351175E-10    1.15351002160346E-05                       0                       0                       0                       0                       0                       0         3426.8182410216       -3411.68966739526        363.205658015672        442.775513292957      0.0395617103967774        4165.87478446535        12066428.7211729        1.61431082606282 
       1.46961961961962                     0.3       0.030279444597193     0.00926313837460639    9.18361618428134E-06    3.70497109364558E-10    1.15616363969539E-05                       0                       0                       0                       0                       0                       0        3426.80820357831       -3411.63502855528        363.317914896274        443.204557380616      0.0395633343098926        4167.30561755488        12066340.7230276        1.60620047343071 
       1.47002002002002                     0.3      0.0302806779926651     0.00926348169817902    9.20443023355414E-06    3.70501135217366E-10    1.15881725778731E-05                       0                       0                       0                       0                       0                       0        3426.79816613502       -3411.58038971531        363.430171776877        443.633601468274      0.0395649582230079        4168.73645064441        12066252.7248822         1.5980901207986 
